title,company,location,salary,summary
"Data Scientist/Statistician (Statistical Modeling, Big Data,...","Quintrix Solutions, Inc",New York,135000,"The starting salary for the Data Scientist position is $135,000. Big Data technologies like Hadoop, MapReduce, Scala:...."
Data Manager/Statistician,Stony Brook University,New York,57000,"Compliant data analysis. Biostatistics and data management; Survival analysis, longitudinal data analysis, survey data analysis, etc.);..."
"Scientist, Bureau of Environmental Sciences and Engineering",DEPT OF HEALTH/MENTAL HYGIENE,New York,62693,-Supporting the development and implementation of the New York City Drinking Water Surveillance Program and Recreational Water Program by assisting senior...
Climate and Sustainability Analyst,DEPT OF ENVIRONMENT PROTECTION,New York,65977,Knowledge and practical application of quantitative statistical analysis and geographical data interpretation methods....
"Criminal Justice Analyst, Bureau of Mental Health",DEPT OF HEALTH/MENTAL HYGIENE,New York,79249.5,"Develop expertise in Maven, and other available data and health management systems and information to extract data for analysis, build and configure re..."
Statistical Analysts (Full time role),Nityo Infotech,New York,115000,"Credit bureau data knowledgeable is preferable. Experience in Model development with a combination of internal, alternative and bureau data...."
Client Facing Python Engineers for A.I data consultancy,Birch & James Associates Limited,New York,90000,"An interest in machine learning and/or data science. Triage and solve frontline engineering problems and incoming requests, whilst working with our project..."
"Research Analyst , Bureau of HIV/AIDS Prevention and Control",DEPT OF HEALTH/MENTAL HYGIENE,New York,78790.5,And a general appreciation for data quality. -Assume leadership role in data management and analysis. Two years as a City Research Scientist Level I can be...
"Statistician, Level I",POLICE DEPARTMENT,New York,52903.5,"Selected candidate will be responsible for processing, analyzing, and extracting information from data and conducting an analysis on issues regarding deployment..."
Research Assistant I,GUTTMACHER,New York,40000,"Research Associate, Senior/Principal Research Scientist. Depending on qualifications and workflow, duties may include assisting with survey fielding,..."
"Senior Research Analyst, Bureau of Maternal Infant and Repro...",DEPT OF HEALTH/MENTAL HYGIENE,New York,90615,"Perform data analyses for routine reports, data requests, evaluation projects, surveillance projects and other special epidemiologic analyses...."
"VP, Data Science ( FinTech / Python / R / Machine Learning )",Venturi Ltd,New York,250000,"Lead Data Scientist, FinTech, Python, R, Machine Learning, Big Data Architect, Hadoop, Cloudera, SQL, NoSQL, Hortonworks, Java, Data Science, Analyst, Analytics..."
AVP - Business Management and Data Analysis,Mission Staffing,New York,113000,"Data Analyst opening at Top Fund! Management, providing regular direct contact with the Director of Data. The Business Analysis role extends the foundations of..."
"Senior Epidemiologist, Prevention and Primary Care",DEPT OF HEALTH/MENTAL HYGIENE,New York,100803,"Develop and implement an update and improvement process to manage epidemiological data and maintain communication with PPC bureaus around data updating,..."
Director of Research and Analysis,BOARD OF CORRECTION,New York,75557.5,"The Board’s research team conducts primary and secondary research and analysis, using its unbridled access to the DOC’s data, policies and jails as its rich..."
"Researcher/Data Analyst, Bureau of Mental Health",DEPT OF HEALTH/MENTAL HYGIENE,New York,75557.5,"Conduct analysis on both survey data and on large administrative datasets (such as SPARCS data, Vital Stats data, program data) to evaluate outcomes, program..."
Research and Policy Analyst,DEPT OF CITYWIDE ADMIN SVCS,New York,65977,"Use data findings to propose adjustments to workflow and strategies; Collect, maintain, and analyze data and information related to energy programs;..."
Full-Stack Engineer,605,New York,112500,"Our team of data scientists pioneered the field of TV data analytics. At 605 we are engineers, analysts, data scientists, media experts, marketing strategists..."
Office Manager,AiCure,New York,45000,"Learn how we combine machine learning, computer vision and big data (video):. You'll work with scientists, engineers, designers, and medical doctors, to create..."
"Research Scientist, Bureau of Veterinary and Pest Control Se...",DEPT OF HEALTH/MENTAL HYGIENE,New York,90981,A general appreciation for data quality. Create visualizations and presentations summarizing program data. Two years as a City Research Scientist Level I can be...
