Species,Trap,dayofyear,tmax_x,tmin_x,dewpoint_x,sealevel_x,resultdir_x,avgspeed_x,tmax_y,tmin_y,dewpoint_y,sealevel_y,resultdir_y,avgspeed_y,coollast7,coollast30,coollast90,preciplast30,preciplast90
2,1,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
3,1,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
3,8,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
2,15,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
3,15,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
3,34,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
3,35,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
2,37,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
3,37,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
3,38,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
2,39,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
2,41,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
3,41,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
2,68,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
3,68,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
3,75,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
3,77,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
1,80,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
3,80,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
2,91,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
3,91,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
2,96,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
2,101,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
3,106,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
3,112,149,88,60,58,30.11,18,6.5,88,65,59,30.09,16,7.4,31.0,35.0,0.0,0.735,0.0
1,1,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,1,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,1,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,10,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,11,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
